0	-nan	-nan	-nan	-nan	-nan	-nan
1	0.0551794	0.0172363	0.0298454	0.0313493	0.0223262	0.0434957
2	0.215628	0.0738038	0.110937	0.118341	0.0791251	0.168314
3	0.778873	0.254843	0.320318	0.352477	0.234136	0.521023
4	0.929604	0.305858	0.347618	0.390304	0.256694	0.579094
5	0.651394	0.301462	0.34276	0.398865	0.257157	0.575045
6	0.704376	0.272889	0.320087	0.361384	0.24663	0.571806
7	0.749838	0.266874	0.343338	0.380356	0.26109	0.578863
8	0.762794	0.271848	0.339984	0.380472	0.252529	0.579325
9	0.764992	0.277748	0.339752	0.380124	0.251951	0.578053
10	0.764876	0.278904	0.33767	0.382207	0.24929	0.579788
11	0.766264	0.282144	0.338711	0.379893	0.251257	0.578978
12	0.767999	0.282953	0.33767	0.381397	0.247324	0.578978
13	0.768462	0.283532	0.337323	0.379662	0.246745	0.579788
14	0.769041	0.285961	0.336744	0.380819	0.24582	0.578747
15	0.769619	0.284804	0.336397	0.378042	0.244779	0.579904
16	0.771701	0.287465	0.336282	0.378621	0.24501	0.578978
17	0.772511	0.288159	0.335935	0.379083	0.243969	0.579094
18	0.773205	0.289084	0.335588	0.381975	0.242581	0.579094
19	0.773205	0.2892	0.335125	0.38024	0.240846	0.579557
20	0.775287	0.289778	0.335009	0.379315	0.242003	0.579325
21	0.774709	0.289894	0.334547	0.377811	0.242928	0.57921
22	0.77575	0.289894	0.334894	0.379662	0.239226	0.578978
23	0.777023	0.289894	0.334431	0.38024	0.240036	0.579441
24	0.775403	0.289894	0.334431	0.377232	0.241424	0.57921
25	0.77737	0.290125	0.334431	0.379893	0.238069	0.579325
26	0.777832	0.290357	0.334084	0.37943	0.240383	0.578978
27	0.776675	0.289894	0.334315	0.377927	0.238648	0.579441
28	0.777138	0.290125	0.333852	0.380703	0.239342	0.579094
29	0.778411	0.29001	0.334431	0.37677	0.240499	0.57921
30	0.776444	0.290241	0.333852	0.378505	0.237028	0.578863
31	0.777601	0.29001	0.333852	0.37758	0.241424	0.578747
32	0.776329	0.289894	0.3342	0.376423	0.237375	0.578863
33	0.778064	0.290125	0.333968	0.380472	0.239342	0.578631
34	0.776444	0.289894	0.3342	0.374688	0.239458	0.578747
35	0.776907	0.290125	0.333737	0.378621	0.236681	0.578631
36	0.777485	0.29001	0.333968	0.376076	0.241887	0.5784
37	0.775403	0.289894	0.333852	0.37596	0.237144	0.578978
38	0.724967	0.289894	0.334431	0.376307	0.245357	0.578053
39	0.711085	0.277169	0.330266	0.381166	0.236103	0.573426
40	0.753771	0.262362	0.332002	0.388685	0.235987	0.575277
41	0.77737	0.282606	0.333274	0.389842	0.238879	0.572963
42	0.773436	0.286424	0.33339	0.391461	0.240499	0.579788
43	0.777023	0.290125	0.332696	0.390304	0.237491	0.578978
44	0.776791	0.289894	0.333505	0.389957	0.240383	0.580367
45	0.777948	0.290125	0.332464	0.388569	0.239226	0.580482
46	0.779452	0.290125	0.333158	0.389842	0.237144	0.580135
47	0.775519	0.290588	0.332811	0.39042	0.239111	0.58002
48	0.780146	0.29001	0.333043	0.388569	0.239342	0.580367
49	0.778064	0.290241	0.332811	0.389379	0.236797	0.580135
50	0.777601	0.290241	0.332811	0.39042	0.238301	0.578978
51	0.778295	0.290241	0.333043	0.388106	0.239342	0.57921
52	0.778526	0.290357	0.333158	0.391461	0.237491	0.579094
53	0.778295	0.290125	0.333043	0.388916	0.240036	0.579325
54	0.778179	0.290704	0.333043	0.390304	0.236681	0.578978
55	0.778989	0.290472	0.333158	0.389842	0.238764	0.57921
56	0.771239	0.290704	0.333158	0.389957	0.238301	0.579788
57	0.724272	0.289316	0.333852	0.384405	0.255768	0.579325
58	0.75701	0.28839	0.332927	0.378621	0.25438	0.579325
59	0.767999	0.288853	0.333043	0.376885	0.253571	0.579325
60	0.770082	0.288737	0.33258	0.378389	0.253686	0.578631
61	0.757473	0.288622	0.331423	0.379777	0.25091	0.579094
62	0.711663	0.271964	0.320781	0.358839	0.22199	0.566485
63	0.773668	0.283994	0.326333	0.36312	0.224304	0.575624
64	0.790094	0.291514	0.329457	0.369135	0.229393	0.580135
65	0.786277	0.29082	0.329804	0.36497	0.231707	0.580367
66	0.786277	0.291514	0.330151	0.369366	0.230782	0.579788
67	0.785236	0.290935	0.330498	0.369135	0.231938	0.580482
68	0.783154	0.290935	0.330613	0.366706	0.232632	0.579788
69	0.781765	0.291051	0.33096	0.369829	0.233211	0.580135
70	0.78084	0.290588	0.33096	0.368672	0.233558	0.579788
71	0.781997	0.290357	0.331308	0.370523	0.234946	0.580251
72	0.779452	0.290588	0.331192	0.370292	0.233327	0.579788
73	0.780262	0.290472	0.33096	0.369135	0.235062	0.579557
74	0.778873	0.290357	0.331886	0.369019	0.234483	0.58002
75	0.778295	0.290241	0.331539	0.368325	0.235524	0.579441
76	0.778873	0.290357	0.331539	0.37006	0.233789	0.579441
77	0.779221	0.290357	0.331655	0.369829	0.236566	0.579904
78	0.777138	0.290241	0.331539	0.367978	0.236219	0.579672
