0	-nan	-nan	-nan	-nan	-nan	-nan
1	0.0991378	0.0335472	0.0512462	0.0544853	0.0370176	0.0772742
2	0.620392	0.20591	0.264676	0.290588	0.191682	0.426049
3	0.819246	0.297182	0.335356	0.38452	0.238648	0.571344
4	0.729362	0.287002	0.327374	0.38452	0.229972	0.558619
5	0.786277	0.290704	0.328994	0.38614	0.230666	0.567989
6	0.792524	0.291629	0.329804	0.383364	0.232401	0.572153
7	0.785352	0.291051	0.329572	0.382901	0.23136	0.571575
8	0.782691	0.291051	0.330151	0.382207	0.23217	0.573194
9	0.785004	0.29082	0.33096	0.382901	0.234715	0.572847
10	0.782112	0.291051	0.331192	0.382554	0.235409	0.574004
11	0.782922	0.291051	0.332233	0.383248	0.23645	0.574467
12	0.782922	0.29082	0.332233	0.384636	0.238648	0.575392
13	0.780609	0.290588	0.333158	0.382554	0.236797	0.577475
14	0.782228	0.291051	0.333158	0.38452	0.241077	0.577359
15	0.782112	0.290588	0.333737	0.383364	0.239111	0.57921
16	0.746714	0.290935	0.33096	0.381513	0.241424	0.57678
17	0.758629	0.289894	0.333852	0.378621	0.260974	0.579788
18	0.692345	0.275203	0.32911	0.367053	0.25519	0.564287
19	0.782112	0.289778	0.332117	0.377117	0.258198	0.579788
20	0.781534	0.290357	0.332464	0.378736	0.256463	0.579788
21	0.780609	0.290125	0.332002	0.376885	0.256	0.578978
22	0.779915	0.290357	0.332349	0.377811	0.254843	0.579325
23	0.780609	0.290241	0.332002	0.377232	0.254612	0.579094
24	0.75273	0.285498	0.330498	0.379893	0.254149	0.571806
25	0.780146	0.289431	0.332117	0.379893	0.255537	0.578747
26	0.782922	0.290357	0.331886	0.378505	0.254496	0.580829
27	0.781765	0.290935	0.33177	0.380124	0.253802	0.580945
28	0.781187	0.290357	0.332002	0.380472	0.255653	0.58002
29	0.78165	0.290588	0.332117	0.378389	0.253224	0.579094
30	0.779105	0.290125	0.332002	0.381397	0.254265	0.578631
31	0.766611	0.288969	0.332002	0.380934	0.253455	0.577475
32	0.767884	0.286077	0.332002	0.383826	0.249637	0.571806
33	0.778642	0.289431	0.332117	0.383595	0.25172	0.578863
34	0.737113	0.290241	0.338364	0.382901	0.247555	0.579904
35	0.78431	0.290935	0.342644	0.383595	0.241308	0.580945
36	0.783963	0.290588	0.343107	0.38452	0.241887	0.580829
37	0.781881	0.29082	0.343338	0.384405	0.24154	0.581061
38	0.78165	0.290704	0.34276	0.384289	0.243622	0.57921
39	0.779336	0.290125	0.34276	0.384867	0.242812	0.578516
40	0.775634	0.290472	0.34276	0.385099	0.243506	0.578978
41	0.7503	0.284573	0.34114	0.38105	0.242003	0.572038
42	0.779683	0.288853	0.341834	0.379546	0.240961	0.577243
43	0.78084	0.290125	0.341603	0.378736	0.242118	0.579094
44	0.746367	0.290357	0.340099	0.380356	0.246977	0.581176
45	0.710507	0.285151	0.340215	0.384289	0.259355	0.577359
46	0.738385	0.280293	0.332349	0.373878	0.243738	0.568914
47	0.788012	0.290704	0.334431	0.378736	0.245357	0.579904
48	0.786508	0.290935	0.334431	0.379199	0.245936	0.580251
49	0.785699	0.291051	0.334894	0.378389	0.247671	0.579904
