0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4338	4338	5784	5784	5784	4338	4338	5784	5784	5784	5784	4338	4338	5784	5784	5784	5784	5784	5784	2892	5784	4338	4338	5784	4338	5784	4338	5784	4338	5784	5784	4338	4338	4338	4338	5784	4338	5784	4338	4338	4338	4338	4338	5784	4338	4338	4338	5784	4338	4338	4338	4338	4338	2892	4338	5784	2892	5784	4338	4338
2	23136	18798	30366	31812	27474	18798	24582	27474	27474	27474	27474	23136	21690	27474	27474	27474	27474	27474	27474	17352	27474	18798	26028	27474	14460	27474	21690	27474	20244	27474	28920	18798	20244	21690	18798	26028	26028	27474	18798	18798	27474	20244	21690	26028	18798	18798	18798	27474	20244	20244	18798	18798	20244	13014	21690	27474	13014	27474	27474	27474
3	96882	76638	125802	128694	102666	83868	95436	112788	109896	102666	108450	98328	88206	115680	102666	105558	108450	109896	101220	67962	102666	82422	98328	107004	54948	104112	78084	101220	75192	101220	114234	70854	80976	80976	60732	86760	86760	89652	73746	70854	86760	79530	80976	83868	65070	60732	63624	93990	73746	73746	60732	63624	76638	47718	76638	96882	57840	92544	101220	91098
4	203886	183642	232806	235698	209670	189426	54986	62178	62677	49160	62677	60732	193764	62677	51060	51973	216900	218346	52374	170628	54986	51693	60766	65070	30366	62211	38319	47718	36873	60732	60732	48650	45549	50610	29923	41934	42706	47204	36873	34704	1446	49164	36759	1446	35427	33258	30366	1446	43380	34704	51991	37596	45549	23136	1446	61198	28920	60218	59286	60218
5	323904	303660	354270	355716	329688	309444	56758	63914	64042	50979	64138	63307	315228	64074	52963	53847	338364	338364	54458	292092	56866	53463	62306	63043	32417	64326	2892	1446	18852	64586	63917	51424	47980	52729	32198	45062	45200	50897	39375	37074	7230	51504	21358	4338	37695	35551	16103	4338	45748	37475	47033	39896	47894	25533	2892	62857	31202	63088	62552	62486
6	445368	425124	474288	477180	451152	430908	58720	65943	66129	53041	66222	65419	436692	66191	55032	55913	458382	459828	56508	413556	58930	55469	64386	65069	34885	66900	10122	5784	21147	67152	66504	53858	50499	55217	34501	47478	47737	53392	41875	39354	20551	53934	23848	13014	39885	37757	18175	13014	48083	39989	49434	42217	50294	27796	13014	65400	33574	65617	65201	65073
7	566832	546588	595752	598644	571170	552372	60620	67942	68212	55069	68212	67465	556710	68242	57124	57910	579846	579846	58373	533574	60994	57406	66400	67000	36963	69228	19877	24751	23213	69502	68875	56146	52819	57340	36602	49732	49980	55661	44136	41455	22946	56220	25939	21734	42109	39840	20240	24620	50228	42109	51561	44464	52429	29887	20396	67687	35788	67867	67589	67407
8	688296	666606	715770	718662	692634	672390	62593	69857	70147	57016	70205	69415	678174	70205	59076	59974	701310	701310	60215	655038	62857	59315	68384	68905	39037	71419	21877	26849	25110	71684	71107	58275	54968	59426	38534	51805	52045	57772	46198	43456	25031	58310	27947	23750	44125	41919	22016	26805	52247	44125	53568	46555	54512	31839	22441	69814	37872	70017	69864	69599
9	808314	788070	837234	840126	814098	793854	64473	71742	72032	58831	72061	71310	799638	72090	60897	61801	821328	822774	62068	776502	64697	61334	70342	70875	40853	73543	23529	28863	27025	73771	73242	60323	56992	61475	40373	53802	54068	59809	48126	45413	26952	60323	29957	25687	46007	43849	24008	28681	54222	46007	55422	48512	56560	33740	24568	71873	39897	72076	72010	71691
10	929778	908088	958698	960144	935562	915318	66175	73659	73883	60625	73911	73214	919656	73939	62697	63609	942792	942792	63932	896520	66578	63055	72167	72654	42640	75555	25401	30882	28813	75775	75319	62272	58983	63291	42179	55759	56018	61773	50023	47330	28817	62305	31905	27713	47988	45473	25764	30506	56057	47773	57180	50391	58493	35653	26288	73869	41875	74037	74086	73722
