0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
1	0.2892	0.34704	0.856032	0.312336	0.17352	1.1221	0.196656	0.208224
2	1.61952	1.52698	4.32643	1.29562	0.92544	5.4948	0.879168	0.98328
3	6.11947	5.79557	16.0332	4.70818	3.30845	17.8726	3.1812	3.16963
4	8.76854	2.68378	6.38554	1.29562	2.10538	6.17731	1.06426	2.44085
5	9.67085	7.2647	15.5011	3.03082	3.95626	16.0217	2.70691	3.53981
6	9.68242	9.10402	18.7402	4.09507	5.34442	20.3018	3.32002	5.61048
7	9.67085	9.17342	19.8623	4.52309	5.02051	20.3828	3.26218	5.34442
8	9.67085	8.95363	20.1862	4.52309	4.85856	20.5216	3.52824	5.13619
9	9.68242	8.95363	20.1746	4.67347	4.76602	20.3365	3.71333	5.04365
10	9.67085	8.76854	20.2556	4.68504	4.68504	20.5679	3.58608	4.97424
11	9.67085	8.7107	20.2556	4.60406	4.73131	20.7877	3.5051	4.90483
12	9.68242	8.676	20.2787	4.78915	4.65034	20.3597	3.71333	4.93954
13	9.67085	8.676	20.1977	4.58093	4.63877	20.834	3.58608	4.82386
14	9.67085	8.60659	20.3481	4.6619	4.65034	20.4869	3.74803	4.9164
15	9.68242	8.50248	20.406	4.80072	4.61563	20.6604	3.53981	4.83542
16	9.68242	7.06805	20.3018	3.03082	4.65034	19.9895	2.78789	4.89326
17	9.67085	7.41509	21.0653	3.27374	5.07835	22.0833	3.11179	5.32128
18	9.69398	7.53077	21.7016	3.37786	4.89326	22.2106	2.98454	5.11306
19	9.67085	7.54234	21.5628	3.40099	4.87013	22.1064	3.15806	5.05522
20	9.67085	7.5539	21.5165	3.35472	4.81229	22.0717	3.22747	5.06678
21	9.60144	7.47293	21.5859	3.42413	4.77758	22.28	3.11179	4.97424
22	9.5783	7.54234	21.4586	3.57451	4.77758	22.1064	3.1465	4.98581
23	9.5783	7.42666	21.609	3.58608	4.71974	22.0255	3.23904	4.92797
24	9.60144	7.49606	21.4355	3.53981	4.70818	22.1064	3.26218	4.90483
25	9.58987	7.41509	21.528	3.59765	4.69661	22.0717	3.25061	4.8817
26	9.64771	7.44979	21.4355	3.7249	4.65034	21.9792	3.25061	4.85856
27	9.61301	7.39195	21.5049	3.77117	3.12336	16.1489	2.93827	3.97939
28	9.61301	7.02178	20.6489	4.78915	3.7249	19.2954	3.45883	4.80072
29	9.67085	5.5295	11.8803	1.90872	4.23389	17.0975	3.87528	5.11306
30	9.68242	6.95237	20.6026	3.06552	4.6272	21.0769	4.53466	5.37912
31	9.67085	7.34568	21.8172	3.19277	4.56936	21.1579	4.44211	5.32128
32	9.67085	7.29941	21.8172	3.36629	4.54622	20.9381	4.54622	5.27501
33	9.68242	7.33411	21.8288	3.25061	4.47682	21.1347	4.46525	5.27501
34	9.67085	7.34568	21.7131	3.44726	4.45368	21.0769	4.39584	5.25187
35	9.68242	7.39195	21.6553	3.38942	4.47682	20.9844	4.48838	5.2403
36	9.67085	7.39195	21.609	3.53981	4.49995	21.0769	4.32643	5.22874
37	9.68242	7.41509	21.6206	3.56294	4.45368	20.9149	4.338	5.26344
38	9.67085	7.39195	21.6553	3.53981	4.41898	20.8687	4.52309	5.19403
39	9.67085	7.46136	21.5165	3.48197	4.43054	21.1463	4.26859	5.19403
40	9.67085	7.42666	21.6553	3.63235	4.48838	20.9496	4.25702	5.21717
41	9.68242	7.54234	21.3661	3.73646	4.40741	20.8455	4.338	5.14776
42	9.67085	7.46136	21.609	3.2159	4.41898	18.879	3.64392	5.2056
43	9.68242	7.5192	21.7478	3.73646	4.67347	20.5563	3.62078	5.36755
44	9.69398	7.5192	21.6437	3.88685	4.70818	20.9381	3.85214	5.32128
45	9.67085	7.57704	21.5743	3.84058	4.61563	21.1463	3.77117	5.34442
46	9.65928	7.47293	21.609	3.85214	4.58093	21.0769	3.81744	5.26344
47	9.5783	7.50763	21.5743	3.87528	4.5925	21.0769	3.86371	5.25187
48	9.5783	7.5192	21.4933	3.86371	4.55779	21.0422	3.88685	5.21717
49	9.58987	7.56547	21.3314	2.83416	3.23904	17.0628	3.7249	3.08866
50	9.64771	5.93438	16.6232	3.29688	3.55138	13.7196	3.25061	3.60922
51	9.67085	6.52435	16.762	4.75445	4.5925	15.7093	3.33158	5.28658
52	9.67085	8.0629	20.591	4.96267	4.76602	19.1335	4.09507	5.44853
53	9.68242	8.23642	20.9728	5.2403	4.73131	19.3301	3.96782	5.36755
54	9.67085	8.17858	20.9612	5.04365	4.68504	19.4574	4.0835	5.35598
55	9.67085	8.12074	20.9844	5.22874	4.6619	19.4342	4.02566	5.32128
56	9.67085	7.98192	21.181	5.25187	4.61563	19.4574	4.02566	5.26344
57	9.68242	8.24798	20.8571	5.22874	4.60406	19.5268	4.0488	5.2056
58	9.67085	7.98192	21.0422	5.13619	4.56936	19.5731	4.15291	5.1709
59	9.68242	8.0976	20.9959	5.2056	4.5925	19.735	3.89842	5.15933
60	9.68242	7.98192	20.9844	5.21717	4.54622	19.6078	4.09507	5.11306
61	9.67085	7.98192	21.0306	5.1709	4.56936	19.7119	3.97939	5.10149
62	9.67085	8.00506	20.9844	5.22874	4.54622	19.7003	4.02566	5.05522
63	9.69398	7.99349	20.9265	5.13619	4.54622	19.7928	3.97939	5.07835
64	9.67085	7.94722	21.0538	5.21717	4.55779	19.6078	4.09507	5.04365
65	9.67085	7.83154	21.0885	5.05522	4.55779	19.8507	4.02566	5.06678
66	9.67085	7.97035	18.9252	5.03208	4.58093	18.2659	3.81744	5.05522
67	9.68242	8.50248	19.5384	5.08992	4.69661	19.7697	3.67862	5.19403
68	9.67085	8.79168	20.2787	5.19403	4.6619	19.897	3.77117	5.1709
69	9.68242	8.61816	20.4985	5.03208	4.67347	19.8276	3.89842	5.14776
70	9.68242	8.53718	20.5563	5.08992	4.6272	19.8507	3.89842	5.07835
71	9.67085	8.65286	20.3481	5.15933	4.63877	19.8854	3.87528	5.07835
72	9.67085	8.61816	20.406	5.2056	4.6272	19.8738	3.85214	5.05522
73	9.67085	8.58346	20.4291	4.9511	4.61563	19.8507	3.82901	4.93954
74	9.68242	8.53718	20.3481	3.38942	4.03723	17.0859	2.70691	2.78789
75	9.67085	5.5295	11.6837	3.96782	4.63877	16.8777	1.95499	3.86371
76	9.67085	7.40352	17.0165	5.21717	4.87013	20.5563	2.53339	4.58093
77	9.68242	8.36366	20.4869	5.32128	4.90483	21.0422	2.64907	4.56936
78	9.67085	8.52562	20.4522	5.29814	4.90483	21.0769	2.70691	4.54622
79	9.67085	8.49091	20.4638	5.1709	4.9511	20.9612	2.8573	4.60406
80	9.70555	8.44464	17.9882	5.2056	4.9511	19.7466	2.78789	4.56936
81	9.67085	8.91893	19.2839	4.34957	5.00894	20.4754	3.01925	4.71974
82	9.67085	8.94206	20.2209	4.85856	5.03208	20.7067	3.26218	4.76602
83	9.67085	8.87266	20.163	4.87013	5.00894	20.9149	3.10022	4.75445
84	9.68242	8.89579	20.1862	4.76602	5.02051	20.9381	3.13493	4.74288
85	9.67085	8.83795	20.1862	4.89326	5.00894	20.7299	3.22747	4.69661
86	9.67085	8.50248	20.1168	4.68504	4.99738	20.8571	3.30845	4.73131
87	9.68242	7.83154	20.8571	5.11306	5.00894	18.9715	3.27374	4.75445
88	9.68242	8.03976	21.1232	4.97424	5.10149	20.4175	3.40099	4.77758
89	9.67085	8.0629	20.9959	5.06678	5.00894	20.3018	3.48197	4.81229
90	9.67085	8.03976	21.0191	5.07835	5.05522	20.1283	3.5051	4.76602
91	9.68242	8.07446	21.0075	5.13619	5.03208	20.244	3.51667	4.74288
92	9.67085	8.0976	20.9496	5.04365	5.04365	20.3481	3.4357	4.71974
93	9.67085	8.0976	20.9381	4.99738	5.03208	20.3597	3.49354	4.70818
94	9.68242	8.07446	20.9612	5.00894	5.03208	20.325	3.4704	4.71974
95	9.67085	8.0976	20.9381	5.11306	5.03208	20.2671	3.56294	4.70818
96	9.67085	8.08603	20.4985	4.47682	4.44211	17.3867	2.79946	3.53981
97	9.69398	7.75056	14.5294	3.62078	4.00253	17.1091	2.74162	3.25061
98	9.67085	8.27112	17.9535	4.83542	5.10149	21.5512	3.45883	3.87528
99	9.67085	8.50248	19.9201	4.82386	5.15933	21.0538	3.45883	3.94469
100	9.67085	6.48965	14.6798	3.90998	5.2403	16.8777	2.90357	4.10664
101	9.69398	8.0976	16.9934	4.77758	5.54107	20.4869	3.41256	4.34957
102	9.67085	8.65286	17.9304	4.87013	5.51794	20.5448	3.42413	4.3727
103	9.67085	8.83795	18.9021	4.89326	5.47166	20.6489	3.27374	4.32643
104	9.67085	8.9652	19.735	4.78915	5.43696	20.5216	3.51667	4.31486
105	9.69398	9.01147	20.1283	4.85856	5.41382	20.753	3.26218	4.31486
106	9.67085	8.97677	20.1283	4.84699	5.37912	20.4175	3.58608	4.31486
107	9.67085	8.94206	20.163	4.90483	5.35598	20.6026	3.35472	4.338
108	9.68242	8.91893	20.1977	4.81229	5.33285	20.672	3.44726	4.338
109	9.67085	8.91893	20.163	4.82386	5.29814	20.5795	3.48197	4.32643
110	9.67085	8.84952	20.1746	4.81229	5.28658	20.4985	3.53981	4.36114
111	9.67085	8.83795	20.1977	4.77758	5.28658	20.6604	3.51667	4.34957
112	9.68242	8.05133	19.1219	4.67347	5.25187	20.1515	3.49354	4.32643
113	9.67085	8.31739	20.2671	4.3727	5.32128	20.6952	3.59765	4.41898
114	9.67085	8.37523	20.7299	4.51152	5.29814	20.7183	3.60922	4.44211
115	9.68242	8.40994	20.6604	4.53466	5.28658	20.7414	3.62078	4.39584
116	9.68242	8.34053	20.3134	4.56936	5.22874	20.4291	3.62078	4.41898
117	9.67085	7.05648	18.3931	4.68504	5.30971	19.4574	3.01925	4.45368
118	9.68242	8.25955	20.672	4.89326	5.37912	20.6257	3.26218	4.54622
119	9.67085	8.32896	20.8918	4.70818	5.33285	20.406	3.33158	4.49995
120	9.67085	8.28269	21.0191	3.93312	4.18762	13.8006	2.88043	3.86371
121	9.68242	8.24798	20.8455	5.32128	4.97424	19.3301	3.81744	4.43054
122	9.68242	8.10917	20.8224	5.63362	4.84699	19.8507	3.57451	4.53466
123	9.67085	8.15544	20.753	5.44853	4.9511	19.8276	3.66706	4.52309
124	9.67085	5.83027	19.3764	5.03208	4.92797	16.2646	3.90998	4.60406
125	9.68242	7.23	20.8224	5.80714	5.04365	18.6708	4.34957	4.89326
126	9.68242	7.4845	21.6784	5.59891	5.18246	18.8096	4.32643	4.84699
127	9.67085	7.64645	21.5512	5.63362	4.96267	18.8905	4.32643	4.82386
128	9.67085	7.66958	21.4818	5.73773	5.14776	18.7517	4.3033	4.78915
129	9.68242	7.41509	21.69	5.58734	4.9511	18.96	4.23389	4.77758
130	9.67085	7.64645	21.3661	5.63362	5.06678	18.9021	4.338	4.76602
131	9.67085	7.39195	21.6322	5.66832	5.08992	18.879	4.31486	4.70818
132	9.68242	7.5192	21.4239	5.66832	4.99738	18.9137	4.3033	4.73131
133	9.67085	7.35725	21.5975	5.58734	5.00894	19.0062	4.25702	4.68504
134	9.67085	7.49606	21.4818	5.58734	5.00894	19.0409	4.24546	4.70818
135	9.68242	7.57704	21.4239	5.56421	5.03208	19.1219	4.18762	4.69661
