0	-nan	-nan	-nan	-nan	-nan	-nan
1	0.231938	0.102261	0.127942	0.124125	0.0948576	0.179535
2	0.938743	0.380819	0.550637	0.525187	0.42281	0.743707
3	0.966159	0.386603	0.572963	0.541614	0.444327	0.772858
4	0.967085	0.38695	0.551794	0.524377	0.437386	0.773899
5	0.966044	0.386718	0.578053	0.541267	0.448723	0.772742
6	0.965928	0.386487	0.579441	0.53155	0.438774	0.772627
7	0.965697	0.386603	0.579094	0.531087	0.440741	0.77228
8	0.965581	0.386371	0.579094	0.530856	0.441551	0.772511
9	0.965465	0.386256	0.57921	0.531087	0.441666	0.772511
10	0.965697	0.386487	0.57921	0.530046	0.441435	0.772627
11	0.965812	0.386603	0.579325	0.530277	0.441666	0.772511
12	0.965581	0.386487	0.579094	0.530393	0.440972	0.77228
13	0.965697	0.386256	0.579094	0.529352	0.443054	0.772395
14	0.965465	0.386487	0.57921	0.529583	0.442592	0.772511
15	0.965581	0.386487	0.57921	0.531434	0.443286	0.772627
16	0.965812	0.386487	0.57921	0.529467	0.44317	0.772511
17	0.965697	0.386603	0.579094	0.52993	0.443748	0.77228
18	0.965581	0.386256	0.57921	0.529583	0.444211	0.772511
19	0.965465	0.386371	0.57921	0.529699	0.444211	0.772511
20	0.965697	0.386603	0.57921	0.531781	0.444558	0.772627
21	0.965812	0.386487	0.57921	0.530971	0.445021	0.772511
22	0.965697	0.386603	0.579094	0.530046	0.445599	0.772395
23	0.965581	0.38614	0.57921	0.52993	0.445484	0.772395
24	0.96535	0.386487	0.57921	0.53074	0.445484	0.772511
25	0.965697	0.386487	0.57921	0.530856	0.445946	0.772627
