0	-nan	-nan	-nan	-nan	-nan	-nan
1	0.194111	0.0866443	0.106426	0.103996	0.0792408	0.152004
2	0.908666	0.370986	0.530393	0.506216	0.406152	0.717447
3	0.966159	0.386603	0.579672	0.548902	0.449764	0.772858
4	0.967085	0.365549	0.580367	0.552488	0.435767	0.773784
5	0.947651	0.373993	0.579672	0.572963	0.414828	0.772627
6	0.963499	0.385908	0.579325	0.56394	0.428132	0.77228
7	0.965234	0.385908	0.57921	0.561626	0.432875	0.772048
8	0.965234	0.385908	0.579441	0.56313	0.430214	0.77228
9	0.965465	0.386024	0.579441	0.560123	0.430792	0.772395
10	0.965465	0.385908	0.579557	0.559197	0.431255	0.77228
11	0.96535	0.386024	0.57921	0.558387	0.431833	0.772164
12	0.965234	0.386024	0.579325	0.558272	0.431833	0.772164
13	0.965234	0.385793	0.579441	0.557115	0.432065	0.772395
14	0.965581	0.386024	0.579441	0.557115	0.433337	0.772395
15	0.965465	0.385908	0.579557	0.556305	0.432528	0.772164
16	0.965234	0.386024	0.579325	0.555495	0.4338	0.772164
17	0.965234	0.386024	0.579325	0.555264	0.43218	0.77228
18	0.96535	0.385793	0.579325	0.556074	0.434263	0.772395
19	0.965465	0.386024	0.579557	0.553644	0.434147	0.77228
20	0.965465	0.386024	0.579441	0.554107	0.433222	0.77228
21	0.96535	0.385908	0.579325	0.55538	0.4338	0.772164
22	0.965234	0.386024	0.579325	0.554107	0.434263	0.77228
23	0.965234	0.385793	0.579441	0.554339	0.435535	0.77228
24	0.965581	0.38614	0.579441	0.563477	0.429404	0.772395
25	0.964771	0.385908	0.5784	0.556884	0.433453	0.771817
26	0.964887	0.385908	0.578863	0.554686	0.435304	0.771701
27	0.964771	0.385908	0.578863	0.554917	0.435419	0.771817
28	0.964771	0.385908	0.578863	0.553644	0.435419	0.771701
29	0.964656	0.385793	0.578978	0.554107	0.434841	0.771817
30	0.964887	0.385908	0.578978	0.555033	0.434494	0.771817
31	0.964887	0.385908	0.578863	0.553413	0.435419	0.771701
32	0.964656	0.385908	0.578863	0.553644	0.434378	0.771817
33	0.964771	0.385908	0.578863	0.553876	0.43461	0.771701
34	0.964771	0.385793	0.578863	0.554107	0.434725	0.771817
35	0.964887	0.385908	0.578978	0.552488	0.435304	0.771817
36	0.964771	0.385908	0.578978	0.553991	0.4338	0.771701
37	0.964771	0.385908	0.578747	0.553876	0.434725	0.771817
38	0.964771	0.385908	0.578863	0.55295	0.435188	0.771701
39	0.965118	0.386024	0.579094	0.564056	0.434263	0.771933
40	0.964656	0.385908	0.577822	0.563824	0.439584	0.771817
41	0.964656	0.385793	0.576896	0.563477	0.439353	0.771817
42	0.964771	0.385793	0.577822	0.56047	0.440741	0.771701
43	0.964656	0.385908	0.5784	0.561279	0.441666	0.771701
44	0.964656	0.385793	0.578747	0.560585	0.440509	0.771586
45	0.964656	0.385908	0.578747	0.559428	0.442013	0.771817
46	0.965003	0.385908	0.578978	0.558503	0.440394	0.772048
47	0.965234	0.38614	0.579325	0.561048	0.442707	0.77228
48	0.96535	0.386024	0.579094	0.558272	0.440162	0.77228
49	0.965234	0.38614	0.57921	0.559313	0.440509	0.772395
50	0.965234	0.38614	0.579094	0.559081	0.441088	0.772164
51	0.965234	0.386024	0.57921	0.557462	0.441551	0.772511
52	0.96535	0.38614	0.57921	0.557693	0.440509	0.77228
53	0.96535	0.38614	0.57921	0.557115	0.439815	0.772395
54	0.965234	0.386024	0.57921	0.556884	0.440162	0.77228
55	0.96535	0.38614	0.579094	0.556884	0.440509	0.77228
56	0.965118	0.386024	0.57921	0.557693	0.440394	0.772511
57	0.96535	0.38614	0.57921	0.557578	0.439815	0.77228
58	0.96535	0.38614	0.57921	0.570996	0.439468	0.77228
59	0.964656	0.386024	0.578631	0.554686	0.441204	0.771701
60	0.964424	0.385793	0.578747	0.552603	0.441782	0.771817
61	0.964656	0.385908	0.578631	0.551794	0.441319	0.771586
62	0.96454	0.385793	0.578747	0.551215	0.441782	0.771701
63	0.96454	0.385908	0.578631	0.553066	0.440625	0.771817
64	0.964656	0.385908	0.578747	0.550058	0.441551	0.771586
65	0.96454	0.385908	0.578631	0.552719	0.441319	0.771701
66	0.96454	0.385908	0.578631	0.551447	0.440741	0.771701
67	0.964656	0.385908	0.578747	0.551678	0.441088	0.771817
68	0.964887	0.386024	0.578863	0.551447	0.440162	0.771933
69	0.964887	0.385908	0.578978	0.552256	0.442823	0.771933
70	0.964887	0.385908	0.578978	0.553066	0.440625	0.772164
71	0.965118	0.386024	0.579094	0.551794	0.440162	0.772048
72	0.965003	0.386024	0.579094	0.552256	0.441551	0.772048
73	0.965118	0.386024	0.578978	0.55295	0.441435	0.772048
74	0.965118	0.386024	0.579094	0.552488	0.441319	0.772048
75	0.965003	0.38614	0.578978	0.555148	0.441204	0.772164
76	0.96535	0.386024	0.57921	0.541267	0.436345	0.77228
77	0.964887	0.385793	0.579094	0.537218	0.438312	0.771933
78	0.964887	0.385793	0.579094	0.539879	0.440278	0.771933
79	0.964887	0.385793	0.578978	0.537334	0.439815	0.771817
80	0.964771	0.385908	0.579094	0.538837	0.439931	0.771933
81	0.964887	0.385793	0.578978	0.538837	0.440047	0.771933
82	0.965003	0.385908	0.579094	0.538722	0.440047	0.772048
83	0.964887	0.385908	0.579094	0.53849	0.439584	0.772048
84	0.965003	0.385908	0.578978	0.53849	0.439353	0.771933
85	0.965003	0.385908	0.57921	0.538722	0.440047	0.772048
86	0.965003	0.385793	0.578978	0.538259	0.439353	0.772048
87	0.965003	0.385908	0.57921	0.538375	0.439584	0.772164
88	0.965003	0.385908	0.579094	0.539185	0.439584	0.772048
89	0.965234	0.386024	0.579094	0.538259	0.440278	0.772164
90	0.96535	0.38614	0.579325	0.537796	0.435998	0.772395
91	0.964771	0.386024	0.578747	0.527732	0.432875	0.771817
92	0.964656	0.385908	0.578747	0.533747	0.436923	0.771586
93	0.964656	0.386024	0.578631	0.533632	0.436808	0.771701
94	0.964656	0.385908	0.578747	0.534442	0.437039	0.771586
95	0.964656	0.386024	0.578631	0.534673	0.437733	0.771586
96	0.964656	0.385908	0.578747	0.534789	0.43727	0.771701
97	0.964656	0.385908	0.578631	0.534789	0.436808	0.771586
98	0.96454	0.386024	0.578747	0.534789	0.438196	0.771586
99	0.964656	0.385908	0.578631	0.533285	0.437849	0.771701
100	0.964771	0.386024	0.578747	0.535367	0.43727	0.771701
101	0.964656	0.385908	0.578747	0.533747	0.438427	0.771586
102	0.964771	0.386024	0.578747	0.53502	0.437733	0.771817
103	0.965003	0.38614	0.578863	0.53155	0.439237	0.771817
104	0.964887	0.386024	0.578863	0.518825	0.439468	0.761637
105	0.96454	0.386024	0.578631	0.51894	0.437733	0.763951
106	0.964771	0.386024	0.578631	0.519288	0.438312	0.764876
107	0.964771	0.386024	0.578747	0.520676	0.438312	0.765108
108	0.964771	0.386024	0.578631	0.521138	0.438427	0.766149
109	0.964656	0.386024	0.578747	0.521832	0.439237	0.765455
110	0.964656	0.386024	0.578747	0.522411	0.439353	0.766264
111	0.964887	0.386024	0.578747	0.523568	0.439468	0.766496
112	0.964771	0.386024	0.578747	0.522642	0.440162	0.76719
113	0.964887	0.386024	0.578747	0.524146	0.439468	0.76719
114	0.964656	0.386024	0.578747	0.524493	0.441204	0.767884
115	0.964771	0.386024	0.578747	0.525534	0.440509	0.767537
116	0.964887	0.38614	0.578747	0.524377	0.440509	0.767653
117	0.965118	0.38614	0.578978	0.524493	0.443286	0.764182
118	0.964656	0.386024	0.578631	0.529005	0.449532	0.770429
119	0.964656	0.386024	0.578631	0.533053	0.448954	0.771701
120	0.964656	0.386024	0.578631	0.532822	0.448838	0.771586
121	0.964656	0.386024	0.578516	0.532591	0.448607	0.771586
122	0.964656	0.386024	0.578747	0.532475	0.448723	0.771586
