Flow	 FCT 
0	2393.32
1	2412.83
2	2454.82
3	2383.88
4	2355.41
5	2665.8
6	2626.82
7	2816.3
8	2781.26
9	2630.24
10	2703.62
11	2674.69
12	2711.43
13	2530.28
14	2649.57
15	2776.13
16	2694.68
17	2689.76
18	2570.79
19	2666.24
20	2917.23
21	2580.79
22	2681.58
23	2593.1
24	2636.06
25	2660.24
26	2595.95
27	2578.86
28	2593.8
29	2384.59
30	2395.88
31	2402.74
32	2684.39
33	2725.94
34	2646.66
35	2775.14
36	2664.93
37	2819.56
38	2541.1
39	2720.13
40	2670.56
41	2725.03
42	2712.9
43	2736.82
44	2675.91
45	2580.49
46	2636.76
47	2740.49
48	2620.63
49	2599.73
50	2766.16
51	2594.79
52	2582.82
53	2725.18
54	2641.16
55	2699.52
56	2784.57
57	2351.91
58	2374.2
59	2436.07
