Flow	 FCT 
0	2361.41
1	2334.86
2	2281.94
3	2327.3
4	2406.05
5	2780.64
6	2770.99
7	2567.63
8	2599.45
9	2697.23
10	2778.88
11	2625.89
12	2666.64
13	2613.22
14	2644.49
15	2711.88
16	2686.03
17	2709.51
18	2872.04
19	2724.94
20	2688.76
21	2753.4
22	2644.63
23	2776.76
24	2609.45
25	2759.32
26	2894.51
27	2883.54
28	2975.18
29	2355.28
30	2377.57
31	2324.68
32	2620.02
33	2676.93
34	2617.59
35	2584.31
36	2631.79
37	2615.19
38	2655.8
39	2529.49
40	2622.05
41	2709.98
42	2519.58
43	2630.48
44	2605.38
45	2848.14
46	2809.3
47	2683.13
48	2618.01
49	2727.51
50	2734.81
51	2667.04
52	2770.08
53	2677.53
54	2623.35
55	2624.16
56	2509.77
57	2363.14
58	2354.56
59	2341.27
