0	-nan	-nan	-nan	-nan	-nan	-nan
1	0.194111	0.0866443	0.106426	0.103996	0.0792408	0.152004
2	0.908666	0.370986	0.528773	0.506678	0.403955	0.717447
3	0.965928	0.386603	0.547398	0.522064	0.411242	0.749028
4	0.967432	0.386834	0.536987	0.507025	0.397592	0.73156
5	0.966969	0.38695	0.561626	0.522295	0.416448	0.747177
6	0.957252	0.386371	0.579325	0.547166	0.42015	0.758051
7	0.963036	0.385677	0.578978	0.540341	0.424314	0.759092
8	0.964656	0.385793	0.579094	0.545084	0.427438	0.763257
9	0.964887	0.385793	0.579094	0.544274	0.428247	0.764066
10	0.965003	0.385677	0.57921	0.543233	0.427785	0.76476
11	0.964887	0.385793	0.57921	0.542423	0.427669	0.764182
12	0.964771	0.385677	0.578863	0.541729	0.4279	0.764298
13	0.964771	0.385793	0.579094	0.541845	0.427438	0.764066
14	0.964887	0.385793	0.57921	0.541614	0.427553	0.764529
15	0.965003	0.385677	0.57921	0.541382	0.427785	0.764066
16	0.964887	0.385793	0.579094	0.540457	0.427669	0.763951
17	0.964771	0.385677	0.578863	0.540226	0.428016	0.763951
18	0.964656	0.385793	0.57921	0.541498	0.4279	0.763951
19	0.965003	0.385677	0.57921	0.539416	0.428826	0.764413
20	0.964887	0.385793	0.57921	0.540573	0.429173	0.764066
21	0.965003	0.385793	0.578978	0.539994	0.429288	0.764066
22	0.964656	0.385677	0.578978	0.539763	0.429635	0.764298
23	0.964771	0.385793	0.57921	0.539416	0.429867	0.764298
24	0.964887	0.385677	0.57921	0.540804	0.430098	0.76476
25	0.965003	0.385793	0.579094	0.539879	0.430908	0.764876
26	0.964887	0.385677	0.579094	0.539069	0.431255	0.764992
27	0.964771	0.385793	0.579094	0.538722	0.431255	0.76476
28	0.964656	0.385677	0.578978	0.539879	0.431371	0.76476
29	0.96535	0.38614	0.57921	0.539879	0.426859	0.757126
30	0.96454	0.385793	0.578863	0.529583	0.429057	0.756084
31	0.96454	0.385793	0.578747	0.531781	0.434147	0.762331
32	0.96454	0.385677	0.578863	0.531665	0.43461	0.763488
33	0.96454	0.385793	0.578747	0.529699	0.43461	0.763835
34	0.964424	0.385677	0.578631	0.531434	0.434725	0.763835
35	0.964424	0.385793	0.578747	0.5334	0.434378	0.764066
36	0.964656	0.385677	0.578863	0.530277	0.43461	0.763372
37	0.96454	0.385793	0.578747	0.535251	0.434263	0.764298
38	0.96454	0.385793	0.578747	0.530393	0.434957	0.763257
39	0.964424	0.385677	0.578747	0.532475	0.433569	0.764066
40	0.964424	0.385793	0.578747	0.533053	0.43461	0.763719
41	0.96454	0.385677	0.578747	0.532591	0.434725	0.763835
42	0.96454	0.385793	0.578863	0.533053	0.4338	0.763257
43	0.96454	0.385677	0.578631	0.53155	0.434725	0.763951
44	0.964424	0.385793	0.578747	0.532591	0.43461	0.764298
45	0.964656	0.385677	0.578863	0.533632	0.433684	0.764066
46	0.96535	0.386256	0.57921	0.542423	0.42443	0.765455
47	0.96454	0.385677	0.578863	0.546704	0.437039	0.768115
48	0.964656	0.385793	0.578863	0.534904	0.434494	0.765108
49	0.964771	0.385908	0.578747	0.53664	0.434263	0.766264
50	0.964771	0.386024	0.578863	0.53664	0.435419	0.767074
51	0.964887	0.385908	0.578863	0.536524	0.435651	0.766958
52	0.964771	0.386024	0.578978	0.536292	0.435535	0.767421
53	0.965003	0.385908	0.578863	0.536871	0.435882	0.767884
54	0.964771	0.385908	0.578863	0.537334	0.436345	0.767653
55	0.964887	0.386024	0.578863	0.536871	0.435882	0.767884
56	0.964771	0.385908	0.578978	0.536987	0.436229	0.768347
57	0.964887	0.386024	0.578863	0.537565	0.436576	0.768578
58	0.964887	0.385908	0.578978	0.537449	0.435882	0.768809
59	0.964887	0.386024	0.578863	0.538028	0.436461	0.768462
60	0.964771	0.385908	0.578863	0.536524	0.437155	0.769503
61	0.964887	0.385908	0.578863	0.538375	0.436692	0.769041
62	0.964887	0.386024	0.578978	0.538259	0.436114	0.768925
63	0.964887	0.386024	0.578863	0.53664	0.437039	0.769619
64	0.964887	0.385908	0.578863	0.538837	0.437155	0.769735
65	0.964771	0.385908	0.578978	0.538259	0.436923	0.769272
66	0.964887	0.385908	0.578863	0.539185	0.437039	0.769735
67	0.964887	0.386024	0.578863	0.535714	0.436923	0.769388
68	0.965118	0.386024	0.579325	0.522642	0.436229	0.763719
69	0.964656	0.386024	0.578631	0.526113	0.439815	0.763719
70	0.964424	0.385908	0.578516	0.530508	0.436923	0.767653
71	0.96454	0.385793	0.578516	0.530971	0.43889	0.767999
72	0.964309	0.385908	0.578516	0.531203	0.439006	0.767653
73	0.964424	0.385908	0.578631	0.530508	0.439468	0.768578
74	0.96454	0.385908	0.578631	0.531434	0.439815	0.769156
75	0.96454	0.385908	0.578631	0.531087	0.439815	0.768578
76	0.96454	0.385793	0.578516	0.531203	0.440278	0.768578
77	0.964424	0.385908	0.578747	0.530046	0.440625	0.769388
78	0.964771	0.385908	0.578747	0.53155	0.440741	0.768925
79	0.964771	0.385908	0.578863	0.531087	0.441204	0.769388
80	0.964771	0.386024	0.578863	0.531203	0.441435	0.769503
81	0.964771	0.385908	0.578747	0.530508	0.442013	0.76985
82	0.964771	0.385908	0.578863	0.531087	0.441898	0.769503
83	0.964771	0.385908	0.578863	0.531318	0.441666	0.769735
84	0.964771	0.386024	0.578747	0.531318	0.442013	0.769966
85	0.964887	0.386024	0.578863	0.530856	0.442245	0.769966
86	0.964887	0.385908	0.578863	0.530856	0.442245	0.769966
87	0.964887	0.386024	0.578978	0.532475	0.443054	0.769619
88	0.965581	0.386256	0.57921	0.529699	0.447682	0.7621
89	0.964424	0.385908	0.578631	0.52565	0.468967	0.754812
90	0.964309	0.385793	0.578631	0.527269	0.468967	0.761059
91	0.964424	0.385793	0.578516	0.531434	0.46619	0.763025
