0	-nan	-nan	-nan	-nan	-nan	-nan
1	0.220255	0.0758861	0.108855	0.117415	0.0775056	0.167158
2	0.930299	0.298801	0.342181	0.387065	0.249637	0.572732
3	0.843886	0.304817	0.339174	0.382207	0.240961	0.577822
4	0.672216	0.290935	0.339984	0.386371	0.231244	0.570881
5	0.791598	0.291167	0.335241	0.382554	0.227196	0.584415
6	0.785004	0.290588	0.335472	0.379199	0.229046	0.578863
7	0.785467	0.29082	0.334894	0.377001	0.229856	0.578747
8	0.781997	0.290588	0.334431	0.378968	0.228121	0.578863
9	0.781418	0.290357	0.334547	0.377464	0.229856	0.578631
10	0.780609	0.290357	0.334778	0.378621	0.228584	0.578631
11	0.783269	0.290588	0.3342	0.37596	0.229856	0.578747
12	0.781765	0.290241	0.334547	0.376423	0.230088	0.578516
13	0.780609	0.290241	0.334431	0.378274	0.229278	0.578863
14	0.78084	0.290472	0.334547	0.376423	0.230782	0.578631
15	0.781187	0.290357	0.334431	0.376076	0.22974	0.5784
16	0.779336	0.290472	0.334662	0.377117	0.230897	0.578863
17	0.756779	0.29001	0.337439	0.379199	0.233789	0.578631
18	0.742087	0.28839	0.346115	0.379662	0.24154	0.578747
19	0.768115	0.288275	0.340909	0.378736	0.23564	0.578863
20	0.771123	0.288853	0.339637	0.37596	0.234021	0.5784
21	0.773205	0.288969	0.338595	0.374803	0.232632	0.5784
22	0.774709	0.289431	0.337786	0.373878	0.23055	0.578516
23	0.776675	0.289663	0.336629	0.375497	0.230666	0.578978
24	0.775634	0.289547	0.336976	0.375035	0.230088	0.578516
25	0.778411	0.289663	0.336282	0.373068	0.230088	0.5784
26	0.777485	0.289894	0.335935	0.373993	0.229625	0.578631
27	0.778411	0.29001	0.335819	0.372605	0.230782	0.5784
28	0.777485	0.289778	0.335935	0.373531	0.230319	0.578516
29	0.778064	0.290125	0.335935	0.373878	0.229972	0.5784
30	0.778179	0.289778	0.335819	0.375613	0.229393	0.5784
31	0.777832	0.290125	0.335935	0.372027	0.230319	0.578631
32	0.776675	0.289663	0.335703	0.372143	0.230782	0.5784
33	0.737691	0.289663	0.343107	0.377811	0.24154	0.578053
34	0.770082	0.288853	0.341603	0.37168	0.24501	0.578631
35	0.771007	0.288853	0.34114	0.371448	0.244779	0.578863
36	0.774246	0.289316	0.339405	0.371333	0.243275	0.578284
37	0.774709	0.289316	0.339289	0.371101	0.243044	0.5784
38	0.776097	0.289663	0.33848	0.370407	0.240846	0.578747
39	0.775866	0.289316	0.338248	0.367862	0.241656	0.5784
40	0.775634	0.289547	0.337901	0.370986	0.24154	0.5784
41	0.777485	0.289778	0.337554	0.370523	0.240267	0.578169
42	0.776675	0.289778	0.337439	0.368788	0.240152	0.578863
43	0.777717	0.289778	0.33767	0.370523	0.240846	0.577937
44	0.77737	0.289894	0.33767	0.370754	0.239805	0.578631
45	0.777485	0.289663	0.336629	0.368672	0.239226	0.578863
46	0.719067	0.289431	0.339289	0.374688	0.249522	0.578053
47	0.651625	0.266411	0.332002	0.372837	0.238185	0.566022
48	0.786277	0.288275	0.330613	0.368556	0.242234	0.581408
49	0.791251	0.291282	0.331886	0.37006	0.243622	0.580598
50	0.789863	0.291282	0.33258	0.373068	0.243853	0.580135
51	0.787665	0.291167	0.333043	0.371101	0.242812	0.580135
52	0.786393	0.29082	0.333505	0.374688	0.243275	0.579441
53	0.785236	0.29082	0.334778	0.373415	0.244779	0.578747
54	0.781881	0.290588	0.335241	0.374572	0.245242	0.579557
55	0.783732	0.290472	0.335472	0.373415	0.244432	0.578747
56	0.781187	0.290472	0.335935	0.375613	0.245242	0.578516
57	0.781187	0.290125	0.335819	0.375844	0.244895	0.578516
58	0.779567	0.290241	0.336397	0.377001	0.24582	0.578747
59	0.758051	0.289778	0.340909	0.376885	0.244432	0.577475
60	0.779221	0.290472	0.338827	0.375497	0.239342	0.578284
61	0.782691	0.290125	0.339174	0.373993	0.239458	0.579441
62	0.779567	0.290472	0.339289	0.375266	0.240499	0.579325
63	0.777717	0.290125	0.339405	0.373993	0.239805	0.578978
64	0.737113	0.29001	0.346809	0.378042	0.238764	0.576433
65	0.779221	0.290472	0.346924	0.375613	0.239805	0.578863
66	0.777948	0.289547	0.347271	0.376191	0.24154	0.579094
67	0.766727	0.289778	0.345883	0.375035	0.241077	0.578747
68	0.752961	0.297529	0.345999	0.379777	0.238648	0.576086
69	0.77737	0.295215	0.344726	0.376307	0.23726	0.579904
70	0.77656	0.293596	0.344379	0.376423	0.237722	0.578284
71	0.778526	0.292439	0.343917	0.37758	0.237144	0.579557
72	0.779567	0.292208	0.34357	0.377001	0.236797	0.579325
73	0.778873	0.291976	0.344032	0.377464	0.237144	0.579094
74	0.780377	0.291861	0.34357	0.37596	0.235756	0.578631
75	0.756547	0.291745	0.345652	0.377811	0.239573	0.578747
76	0.754002	0.290588	0.353402	0.383248	0.251026	0.577822
77	0.769735	0.288506	0.353287	0.382669	0.253108	0.578978
78	0.772742	0.288969	0.349932	0.378968	0.248596	0.579325
79	0.773899	0.289084	0.34785	0.377464	0.246051	0.578978
80	0.775056	0.289431	0.347734	0.378389	0.245357	0.578863
81	0.775981	0.289663	0.346115	0.378042	0.243622	0.578747
82	0.776791	0.289778	0.345883	0.376885	0.243044	0.578747
83	0.777023	0.289663	0.34542	0.375497	0.241887	0.578631
84	0.776444	0.289663	0.345305	0.376191	0.242234	0.578747
85	0.777485	0.289894	0.344379	0.376307	0.243391	0.578284
86	0.777601	0.289894	0.344726	0.377232	0.241771	0.578978
87	0.776791	0.289894	0.344611	0.375729	0.241656	0.5784
88	0.773784	0.289663	0.344032	0.375613	0.243159	0.578516
89	0.73318	0.290357	0.346577	0.386603	0.249753	0.577822
90	0.772511	0.289316	0.348197	0.389032	0.256347	0.579557
91	0.775519	0.2892	0.347734	0.389148	0.254033	0.578516
92	0.776329	0.289663	0.346115	0.386371	0.251835	0.578516
93	0.777023	0.289663	0.345536	0.385561	0.250216	0.578747
94	0.775056	0.289894	0.345883	0.388453	0.248481	0.578747
95	0.753655	0.288506	0.344726	0.37943	0.247671	0.577359
96	0.769735	0.289431	0.344495	0.379199	0.247324	0.576318
97	0.776907	0.290357	0.344264	0.380934	0.249869	0.57921
98	0.777832	0.290357	0.344032	0.380472	0.246514	0.580367
99	0.778295	0.290588	0.34357	0.380472	0.245936	0.580945
100	0.776907	0.290704	0.34357	0.380934	0.248018	0.580367
101	0.779452	0.290588	0.343223	0.380009	0.245936	0.57921
102	0.725082	0.29001	0.336744	0.373993	0.245473	0.577822
103	0.77737	0.291398	0.329688	0.368904	0.241424	0.578631
104	0.787318	0.291514	0.331539	0.371448	0.243622	0.579094
105	0.785352	0.291167	0.332117	0.373531	0.243853	0.580135
106	0.783154	0.290935	0.332349	0.373184	0.244548	0.57921
107	0.708424	0.275665	0.332811	0.368672	0.245704	0.571344
108	0.777948	0.287233	0.334662	0.373531	0.248365	0.576202
109	0.780609	0.290357	0.334431	0.374688	0.249175	0.579325
