0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
1	1.86245	1.74677	4.70818	1.51541	0.960144	5.54107	0.890736	0.994848
2	7.94722	7.47293	20.5679	5.30971	3.63235	20.2787	3.4357	4.03723
3	6.9755	7.09118	20.2671	2.16322	1.16837	6.46651	0.740352	2.42928
4	3.4704	1.39973	7.46136	5.79557	4.0488	18.9947	2.52182	4.22232
5	9.64771	6.85982	21.5512	6.40867	4.52309	20.1283	2.57966	5.18246
6	9.62458	7.09118	21.8751	6.14261	4.6619	20.0705	2.68378	5.08992
7	9.64771	7.25314	21.7941	5.99222	4.56936	20.0589	2.78789	5.14776
8	9.62458	7.29941	21.8057	5.85341	4.65034	20.0358	2.91514	5.13619
9	9.60144	7.2647	21.7941	5.92282	4.71974	19.8276	3.04238	5.14776
10	9.62458	7.27627	21.8057	5.7493	4.67347	19.9895	2.97298	5.12462
11	9.61301	7.31098	21.7478	5.85341	4.74288	20.0705	2.9267	5.18246
12	9.58987	7.28784	21.8404	5.73773	4.6619	19.8391	3.1465	5.13619
13	9.55517	7.35725	21.7478	5.62205	4.74288	20.0358	3.11179	5.14776
14	9.52046	7.2647	21.852	5.8187	4.75445	19.8738	3.04238	5.15933
15	9.5436	7.39195	21.69	5.7493	4.74288	20.0242	3.05395	5.13619
16	9.5436	7.24157	21.852	5.63362	4.71974	20.0242	3.11179	5.12462
17	9.5436	7.33411	21.6784	5.04365	3.60922	17.8841	3.11179	2.62594
18	9.61301	7.16059	21.0075	6.08477	3.84058	17.8379	3.20434	3.56294
19	9.64771	7.05648	21.2967	6.20045	4.16448	19.5384	3.7596	4.45368
20	9.64771	7.1953	21.3545	6.28142	4.32643	19.5384	3.48197	4.5925
21	9.62458	7.21843	21.4586	6.15418	4.46525	19.6425	3.41256	4.70818
22	9.64771	7.2647	21.4586	6.05006	4.51152	19.4458	3.60922	4.78915
23	9.64771	7.33411	21.5165	6.01536	4.58093	19.388	3.62078	4.8817
24	9.62458	7.27627	21.5859	6.01536	4.65034	19.3764	3.55138	4.8817
25	9.64771	7.27627	21.69	5.93438	4.65034	19.3995	3.58608	4.93954
26	9.64771	7.29941	21.6322	5.96909	4.70818	19.4342	3.52824	4.9511
27	9.62458	7.31098	21.6669	5.94595	4.74288	19.4458	3.48197	4.96267
28	9.60144	7.36882	21.5975	5.87654	4.71974	19.5036	3.49354	4.98581
29	9.58987	7.33411	21.6784	5.89968	4.73131	19.307	3.66706	4.96267
30	9.55517	7.40352	21.5859	5.85341	4.74288	19.307	3.66706	4.96267
31	9.58987	7.29941	21.7016	5.70302	4.80072	19.5036	3.63235	4.98581
